user_id,activity_type,activity_energy_level,current_energy_level,predicted_score
user_000001,community,75.7,0.0,77.1
user_000001,community,2.6,77.1,53.5
user_000001,journal,89.0,53.5,68.0
user_000001,journal,67.4,68.0,68.4
user_000002,music,86.5,0.0,87.5
user_000002,music,67.4,87.5,83.2
user_000002,meditation,29.4,83.2,65.2
user_000002,community,43.8,65.2,60.8
user_000002,mood,2.6,60.8,37.7
user_000002,community,29.5,37.7,40.0
user_000002,community,64.5,40.0,52.7
user_000002,meditation,73.4,52.7,62.7
user_000002,mood,88.7,62.7,76.5
user_000003,journal,61.2,0.0,60.0
user_000003,community,65.6,60.0,61.9
user_000003,community,45.9,61.9,60.5
user_000003,journal,13.2,60.5,42.8
user_000003,music,51.1,42.8,47.0
user_000003,journal,35.7,47.0,44.7
user_000003,mood,53.3,44.7,48.4
user_000003,community,88.1,48.4,62.8
user_000003,journal,36.3,62.8,50.7
user_000004,meditation,64.0,0.0,64.4
user_000004,music,66.1,64.4,71.2
user_000004,journal,51.6,71.2,64.2
user_000004,community,23.5,64.2,50.8
user_000004,journal,17.1,50.8,42.1
user_000004,meditation,95.2,42.1,68.7
user_000004,community,54.4,68.7,64.5
user_000005,meditation,85.3,0.0,82.3
user_000005,music,46.6,82.3,70.2
user_000005,music,90.4,70.2,81.2
user_000005,journal,8.8,81.2,52.0
user_000005,journal,40.4,52.0,46.5
user_000005,meditation,56.5,46.5,59.6
user_000005,community,97.9,59.6,81.3
user_000005,journal,62.8,81.3,78.2
user_000005,meditation,51.1,78.2,69.4
user_000006,music,37.8,0.0,38.3
user_000006,meditation,15.0,38.3,32.1  
user_000006,music,57.8,32.1,47.5
user_000006,music,97.9,47.5,71.0
user_000007,meditation,86.2,0.0,88.7
user_000007,mood,35.5,88.7,68.7
user_000007,music,39.4,68.7,56.5
user_000007,music,70.0,56.5,61.3
user_000007,meditation,82.9,61.3,71.1
user_000007,mood,20.3,71.1,50.0
user_000008,music,93.3,0.0,92.9
user_000008,mood,59.1,92.9,81.6
user_000008,journal,45.7,81.6,68.4
user_000008,mood,58.5,68.4,71.8
user_000009,journal,56.6,0.0,54.7
user_000009,mood,95.9,54.7,80.0
user_000009,music,4.7,80.0,48.8
user_000009,community,10.6,48.8,32.6
user_000010,meditation,98.4,0.0,97.4
user_000010,journal,3.3,97.4,65.5
user_000010,journal,5.7,65.5,44.7
user_000010,meditation,63.1,44.7,55.6
user_000010,meditation,22.3,55.6,48.3
user_000010,meditation,80.4,48.3,70.1
user_000010,music,41.1,70.1,62.7
user_000010,community,23.5,62.7,47.5
user_000011,meditation,96.9,0.0,97.4
user_000011,music,18.1,97.4,67.2
user_000011,journal,99.6,67.2,80.6
user_000011,music,16.0,80.6,60.0
user_000012,music,68.3,0.0,67.7
user_000012,journal,24.7,67.7,50.1
user_000012,community,27.4,50.1,46.1
user_000012,meditation,47.3,46.1,56.5
user_000013,meditation,72.3,0.0,75.0
user_000013,journal,61.9,75.0,72.0
user_000013,journal,54.5,72.0,69.8
user_000013,music,61.7,69.8,66.8
user_000013,music,38.7,66.8,56.0
user_000013,journal,62.7,56.0,63.2
user_000013,community,99.2,63.2,81.0
user_000013,meditation,36.0,81.0,68.9
user_000014,journal,15.3,0.0,15.1
user_000014,journal,5.4,15.1,13.1
user_000014,meditation,67.3,13.1,41.0
user_000014,journal,46.3,41.0,45.8
user_000014,mood,63.2,45.8,58.8
user_000014,music,63.0,58.8,65.6
user_000014,music,58.7,65.6,65.6
user_000014,mood,88.8,65.6,78.5
user_000015,community,86.0,0.0,81.8
user_000015,journal,58.4,81.8,75.7
user_000015,mood,55.6,75.7,72.6
user_000015,mood,42.2,72.6,62.8
user_000016,mood,13.1,0.0,10.4
user_000016,community,20.7,10.4,17.1
user_000016,community,20.1,17.1,21.7
user_000016,mood,61.0,21.7,43.0
user_000016,community,32.1,43.0,42.7
user_000016,music,96.0,42.7,63.4
user_000017,community,72.3,0.0,70.4
user_000017,journal,20.8,70.4,54.2
