user_id,activity_type,activity_energy_level,current_energy_level,predicted_score
user_00001,meditation,76.1,24.6,58.6
user_00001,mood,55.0,58.6,49.3
user_00001,journal,54.3,49.3,55.9
user_00001,mood,61.1,55.9,55.4
user_00001,mood,64.0,55.4,56.2
user_00001,mood,61.7,56.2,57.7
user_00001,mood,65.5,57.7,59.4
user_00001,mood,74.8,59.4,62.4
user_00001,journal,42.8,62.4,59.7
user_00002,meditation,70.1,49.4,48.1
user_00002,music,66.4,48.1,50.0
user_00002,mood,32.4,50.0,49.7
user_00002,mood,53.5,49.7,54.2
user_00002,meditation,59.5,54.2,51.0
user_00002,meditation,93.1,51.0,71.6
user_00002,mood,75.4,71.6,67.4
user_00002,meditation,83.3,67.4,78.2
user_00002,journal,67.4,78.2,77.1
user_00002,mood,64.2,77.1,85.1
user_00003,music,68.9,72.1,77.5
user_00003,community,60.2,77.5,70.2
user_00003,meditation,73.8,70.2,80.0
user_00003,mood,39.4,80.0,68.1
user_00003,meditation,71.4,68.1,63.4
user_00003,meditation,83.1,63.4,73.4
user_00003,meditation,93.0,73.4,79.2
user_00003,community,77.5,79.2,81.9
user_00003,music,67.7,81.9,70.5
user_00004,mood,48.4,67.8,65.9
user_00004,meditation,71.4,65.9,74.3
user_00004,journal,69.6,74.3,76.7
user_00004,community,64.9,76.7,73.9
user_00004,meditation,75.8,73.9,71.2
user_00004,journal,55.9,71.2,67.3
user_00004,journal,55.8,67.3,63.8
user_00004,journal,65.8,63.8,61.2
user_00004,community,65.4,61.2,59.5
user_00004,community,85.6,59.5,62.4
user_00005,community,50.2,70.7,67.5
user_00005,mood,65.4,67.5,64.1
user_00005,mood,55.3,64.1,60.7
user_00005,journal,47.2,60.7,58.3
user_00005,meditation,82.6,58.3,67.4
user_00005,music,88.4,67.4,70.0
user_00005,community,76.6,70.0,72.8
user_00006,meditation,97.3,21.4,45.6
user_00006,mood,68.9,45.6,44.8
user_00006,mood,58.1,44.8,56.4
user_00006,mood,56.7,56.4,67.3
user_00006,journal,77.6,67.3,70.4
user_00006,meditation,73.6,70.4,64.2
user_00007,community,90.2,67.4,82.6
user_00007,meditation,70.9,82.6,86.7
user_00007,community,53.8,86.7,75.6
user_00007,journal,55.4,75.6,71.3
user_00007,journal,50.4,71.3,66.3
user_00007,community,58.6,66.3,74.3
user_00007,meditation,85.5,74.3,74.1
user_00007,music,69.8,74.1,83.5
user_00007,community,43.6,83.5,78.5
user_00007,meditation,73.5,78.5,76.5
user_00008,meditation,65.9,54.1,60.1
user_00008,mood,38.2,60.1,61.0
user_00008,mood,52.9,61.0,60.9
user_00008,mood,76.2,60.9,65.1
user_00009,mood,59.6,51.1,60.2
user_00009,community,44.8,60.2,62.2
user_00009,music,60.7,62.2,68.9
user_00009,meditation,70.7,68.9,73.4
user_00009,community,48.5,73.4,74.2
user_00010,meditation,84.2,23.6,46.0
user_00010,journal,52.1,46.0,43.5
user_00010,music,66.4,43.5,53.5
user_00010,music,82.2,53.5,52.7
user_00010,journal,46.7,52.7,56.5
user_00010,community,53.7,56.5,51.2
